"id","distribution_code","customer_code","start_latitude","start_longitude","dest_latitude","dest_longitude","total","process_at","received_at","distance","speed_average","potential_rain","duration","status","created_at"
"DS20230712","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:20:51","06:27:51","1500","45","40","7","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","2","06:27:59","06:34:17","1500","40","40","7","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","2","06:34:27","06:39:27","55","41","40","5","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","1","06:39:56","06:43:56","650","43","40","4","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","2","06:44:47","06:49:47","550","37","40","5","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","1","06:50:40","06:55:40","500","48","40","5","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","1","06:55:56","06:57:16","300","40","40","2","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","1","06:59:06","07:07:04","1600","37","40","7","200","2023-06-30T17:00:00.000000Z",""
"DS20230712","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","07:08:22","07:11:22","55","42","40","3","200","2023-06-30T17:00:00.000000Z",""
"DS20230713","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","2","06:02:52","06:11:52","2500","49","40","8","200","2023-06-30T17:00:00.000000Z",""
"DS20230713","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","1","06:12:34","06:18:34","800","44","40","6","200","2023-06-30T17:00:00.000000Z",""
"DS20230721","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","1","06:05:41","06:14:41","1900","46","40","9","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:14:56","06:21:56","850","42","40","7","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:22:20","06:26:20","50","38","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","1","06:26:39","06:30:39","700","40","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","2","06:33:15","06:41:15","1600","42","40","8","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:41:34","06:46:34","700","42","40","5","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:46:40","06:54:40","1900","37","40","8","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","1","06:55:18","07:10:18","2900","41","40","13","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","1","07:10:55","07:22:55","2600","41","40","12","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","07:23:24","06:27:24","550","43","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230721","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","07:27:41","07:32:41","2000","40","40","5","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:02:18","06:09:18","1500","45","40","7","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","1","06:09:38","06:14:38","550","40","40","5","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:15:06","06:18:06","850","37","40","3","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:18:22","06:22:22","1500","45","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","2","06:22:25","06:27:25","1500","40","40","5","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:27:27","06:32:27","55","41","40","5","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","1","06:33:09","06:37:09","650","43","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:37:10","06:42:10","550","37","40","5","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","1","06:43:07","06:45:07","500","48","40","2","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","2","06:45:10","06:49:10","300","40","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","2","06:50:45","06:58:45","1600","37","40","8","200","2023-07-01T17:00:00.000000Z",""
"DS20230722","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:59:06","07:03:06","55","42","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230723","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","1","06:04:54","06:17:54","2500","49","40","12","200","2023-07-01T17:00:00.000000Z",""
"DS20230723","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","1","06:18:53","06:22:53","800","44","40","4","200","2023-07-01T17:00:00.000000Z",""
"DS20230731","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","1","06:05:28","06:12:28","1900","46","35","7","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:01:01","06:08:01","850","42","35","7","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:01:18","06:04:18","50","38","35","3","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","1","06:02:46","06:06:46","700","40","35","4","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:05:50","06:13:50","1600","42","35","8","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:04:19","06:10:19","700","42","35","6","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:04:06","06:13:06","1900","37","35","9","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","2","06:02:39","06:17:39","2900","41","35","15","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","2","06:02:46","06:12:46","2600","41","35","10","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","2","06:05:30","06:10:30","550","43","35","5","200","2023-07-02T17:00:00.000000Z",""
"DS20230731","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:04:37","06:10:37","2000","40","35","6","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:01:52","06:07:52","1500","45","35","6","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","2","06:02:15","06:06:15","550","40","35","4","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:05:01","06:08:01","850","37","35","3","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:02:21","06:06:21","1500","45","35","4","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","2","06:02:34","06:09:34","1500","40","35","7","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","2","06:01:31","06:04:31","55","41","35","3","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","1","06:05:22","06:08:22","650","43","35","3","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:02:43","06:06:43","550","37","35","4","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","2","06:02:24","06:06:24","500","48","35","4","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","1","06:01:46","06:03:46","300","40","35","2","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","2","06:01:12","06:08:12","1600","37","35","7","200","2023-07-02T17:00:00.000000Z",""
"DS20230732","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:01:12","06:05:12","55","42","35","4","200","2023-07-02T17:00:00.000000Z",""
"DS20230733","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","2","06:03:53","06:17:53","2500","49","35","13","200","2023-07-02T17:00:00.000000Z",""
"DS20230733","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","1","06:18:22","06:25:22","800","44","35","7","200","2023-07-02T17:00:00.000000Z",""
"DS20230741","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","1","06:01:51","06:10:51","1900","46","40","9","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:04:16","06:11:16","850","42","40","7","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:05:32","06:09:32","50","38","40","4","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","2","06:05:37","06:11:37","700","40","40","6","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:02:59","06:10:59","1600","42","40","8","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","1","06:01:44","06:06:44","700","42","40","5","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","2","06:02:43","06:11:43","1900","37","40","9","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","1","06:01:46","06:14:46","2900","41","40","13","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","2","06:03:21","06:16:21","2600","41","40","13","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","06:03:36","06:05:36","550","43","40","2","200","2023-07-03T17:00:00.000000Z",""
"DS20230741","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:05:43","06:11:43","2000","40","40","6","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:03:17","06:10:17","1500","45","40","7","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","1","06:04:39","06:09:39","550","40","40","5","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:02:28","06:06:28","850","37","40","4","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:05:28","06:09:28","1500","45","40","4","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","1","06:02:18","06:09:18","1500","40","40","7","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:02:48","06:07:48","55","41","40","5","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","2","06:04:08","06:09:08","650","43","40","5","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:03:20","06:06:20","550","37","40","3","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","1","06:04:12","06:08:12","500","48","40","4","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","2","06:02:30","06:06:30","300","40","40","4","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","1","06:04:41","06:09:41","1600","37","40","5","200","2023-07-03T17:00:00.000000Z",""
"DS20230742","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:04:47","06:08:47","55","42","40","4","200","2023-07-03T17:00:00.000000Z",""
"DS20230743","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","1","06:02:43","06:13:43","2500","49","40","10","200","2023-07-03T17:00:00.000000Z",""
"DS20230743","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","2","06:14:34","06:21:34","800","44","40","7","200","2023-07-03T17:00:00.000000Z",""
"DS20230751","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","2","06:01:18","06:10:18","1900","46","30","9","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","2","06:02:46","06:07:46","850","42","30","5","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","2","06:02:25","06:06:25","50","38","30","4","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","2","06:03:49","06:09:49","700","40","30","6","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:02:28","06:10:28","1600","42","30","8","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:02:39","06:08:39","700","42","30","6","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:02:51","06:10:51","1900","37","30","8","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","1","06:02:30","06:17:30","2900","41","30","15","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","2","06:05:54","06:15:54","2600","41","30","10","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","06:04:11","06:09:11","550","43","30","5","200","2023-07-04T17:00:00.000000Z",""
"DS20230751","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:01:44","06:06:44","2000","40","30","5","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:02:16","06:10:16","1500","45","30","8","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","2","06:05:51","06:10:51","550","40","30","5","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:05:14","06:09:14","850","37","30","4","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:05:28","06:12:28","1500","45","30","7","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","1","06:03:41","06:11:41","1500","40","30","8","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:01:08","06:05:08","55","41","30","4","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","2","06:04:31","06:06:31","650","43","30","2","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","2","06:02:15","06:06:15","550","37","30","4","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","2","06:01:48","06:06:48","500","48","30","5","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","1","06:05:05","06:07:05","300","40","30","2","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","1","06:03:55","06:08:55","1600","37","30","5","200","2023-07-04T17:00:00.000000Z",""
"DS20230752","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","1","06:02:56","06:07:56","55","42","30","5","200","2023-07-04T17:00:00.000000Z",""
"DS20230753","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","2","06:02:55","06:13:55","2500","49","30","10","200","2023-07-04T17:00:00.000000Z",""
"DS20230753","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","2","06:14:31","06:21:31","800","44","30","7","200","2023-07-04T17:00:00.000000Z",""
"DS20230761","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","2","06:04:39","06:11:39","1900","46","50","8","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","2","06:01:59","06:08:59","850","42","50","8","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","2","06:03:35","06:08:35","50","38","50","6","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","1","06:05:38","06:09:38","700","40","50","5","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:04:10","06:11:10","1600","42","50","8","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","1","06:05:42","06:12:42","700","42","50","8","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","2","06:05:02","06:14:02","1900","37","50","10","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","2","06:03:38","06:20:38","2900","41","50","18","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","1","06:04:57","06:18:57","2600","41","50","15","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","2","06:01:56","06:04:56","550","43","50","4","200","2023-07-05T17:00:00.000000Z",""
"DS20230761","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","2","06:03:44","06:08:44","2000","40","50","6","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:01:16","06:05:16","1500","45","50","5","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","2","06:02:14","06:07:14","550","40","50","6","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","1","06:04:39","06:06:39","850","37","50","3","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:05:32","06:12:32","1500","45","50","8","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","1","06:03:15","06:07:15","1500","40","50","5","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:01:29","06:06:29","55","41","50","6","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","1","06:05:22","06:09:22","650","43","50","5","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:03:28","06:05:28","550","37","50","3","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","2","06:02:04","06:05:04","500","48","50","4","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","1","06:01:28","06:03:28","300","40","50","3","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","1","06:01:32","06:09:32","1600","37","50","9","200","2023-07-05T17:00:00.000000Z",""
"DS20230762","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:05:31","06:09:31","55","42","50","5","200","2023-07-05T17:00:00.000000Z",""
"DS20230763","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","1","06:01:57","06:10:57","2500","49","50","9","200","2023-07-05T17:00:00.000000Z",""
"DS20230763","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","2","06:11:15","06:17:15","800","44","50","6","200","2023-07-05T17:00:00.000000Z",""
"DS20230771","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","2","06:04:40","06:14:40","1900","46","60","12","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:04:01","06:09:01","850","42","60","7","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:04:59","06:07:59","50","38","60","5","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","2","06:04:58","06:10:58","700","40","60","8","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:04:37","06:13:37","1600","42","60","11","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","1","06:01:02","06:07:02","700","42","60","8","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:02:44","06:10:44","1900","37","60","10","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","1","06:04:54","06:21:54","2900","41","60","19","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","1","06:03:25","06:13:25","2600","41","60","12","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","06:03:31","06:06:31","550","43","60","5","200","2023-07-06T17:00:00.000000Z",""
"DS20230771","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:05:30","06:10:30","2000","40","60","7","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:03:17","06:07:17","1500","45","60","6","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","1","06:01:21","06:05:21","550","40","60","6","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:02:28","06:05:28","850","37","60","5","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:03:54","06:10:54","1500","45","60","9","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","1","06:05:12","06:10:12","1500","40","60","7","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:05:07","06:09:07","55","41","60","6","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","2","06:03:36","06:06:36","650","43","60","5","200","2023-07-06T17:00:00.000000Z",""
"DS20230772","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:05:30","06:09:30","550","37","60","6","200","2023-07-06T17:00:00.000000Z",""
