"id","distribution_code","customer_code","start_latitude","start_longitude","dest_latitude","dest_longitude","total","process_at","received_at","distance","speed_average","potential_rain","duration","courier_last_stamp","status","created_at","updated_at"
"11","DS20230711","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","2","06:01:26","06:07:26","2000","40","40","6","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:14:06.000000Z"
"12","DS20230712","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:05:42","06:12:42","1500","45","40","7","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"13","DS20230712","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","2","06:05:15","06:10:15","550","40","40","5","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:22:43.000000Z"
"14","DS20230712","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:02:47","06:05:47","850","37","40","3","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:24:24.000000Z"
"15","DS20230712","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:03:51","06:10:51","1500","45","40","7","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"16","DS20230712","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","2","06:03:17","06:10:17","1500","40","40","7","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:28:43.000000Z"
"17","DS20230712","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","2","06:05:27","06:10:27","55","41","40","5","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:30:37.000000Z"
"18","DS20230712","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","1","06:04:56","06:08:56","650","43","40","4","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:31:58.000000Z"
"19","DS20230712","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","2","06:01:47","06:06:47","550","37","40","5","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:32:52.000000Z"
"20","DS20230712","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","1","06:05:40","06:10:40","500","48","40","5","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:34:08.000000Z"
"21","DS20230712","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","1","06:04:16","06:06:16","300","40","40","2","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:35:13.000000Z"
"22","DS20230712","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","1","06:03:06","06:10:06","1600","37","40","7","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:36:27.000000Z"
"23","DS20230712","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:05:22","06:08:22","55","42","40","3","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:37:32.000000Z"
"24","DS20230713","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","2","06:02:52","06:11:52","2500","49","40","8","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:40:15.000000Z"
"25","DS20230713","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","1","06:02:34","06:08:34","800","44","40","6","0,0","200","2023-06-30T17:00:00.000000Z","2024-05-12T07:41:41.000000Z"
"47","DS20230721","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","1","06:05:41","06:14:41","1900","46","40","9","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T06:03:46.000000Z"
"48","DS20230721","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:03:56","06:10:56","850","42","40","7","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T06:11:21.000000Z"
"49","DS20230721","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:01:20","06:05:20","50","38","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T06:57:33.000000Z"
"50","DS20230721","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","1","06:01:39","06:05:39","700","40","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T06:59:13.000000Z"
"51","DS20230721","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","2","06:03:15","06:11:15","1600","42","40","8","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:00:27.000000Z"
"52","DS20230721","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:05:34","06:10:34","700","42","40","5","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:02:58.000000Z"
"53","DS20230721","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:04:40","06:12:40","1900","37","40","8","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:04:55.000000Z"
"54","DS20230721","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","1","06:04:18","06:17:18","2900","41","40","13","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:08:13.000000Z"
"55","DS20230721","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","1","06:05:55","06:17:55","2600","41","40","12","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:10:36.000000Z"
"56","DS20230721","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","06:01:24","06:05:24","550","43","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:11:57.000000Z"
"57","DS20230721","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:03:41","06:08:41","2000","40","40","5","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:14:06.000000Z"
"58","DS20230722","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:02:18","06:09:18","1500","45","40","7","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"59","DS20230722","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","1","06:02:38","06:07:38","550","40","40","5","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:22:43.000000Z"
"60","DS20230722","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:05:06","06:08:06","850","37","40","3","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:24:24.000000Z"
"61","DS20230722","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:05:22","06:09:22","1500","45","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"62","DS20230722","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","2","06:05:25","06:10:25","1500","40","40","5","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:28:43.000000Z"
"63","DS20230722","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:01:27","06:06:27","55","41","40","5","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:30:37.000000Z"
"64","DS20230722","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","1","06:02:09","06:06:09","650","43","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:31:58.000000Z"
"65","DS20230722","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:01:10","06:06:10","550","37","40","5","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:32:52.000000Z"
"66","DS20230722","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","1","06:01:07","06:03:07","500","48","40","2","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:34:08.000000Z"
"67","DS20230722","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","2","06:01:10","06:05:10","300","40","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:35:13.000000Z"
"68","DS20230722","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","2","06:02:45","06:10:45","1600","37","40","8","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:36:27.000000Z"
"69","DS20230722","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:03:06","06:07:06","55","42","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:37:32.000000Z"
"70","DS20230723","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","1","06:04:54","06:17:54","2500","49","40","12","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:40:15.000000Z"
"71","DS20230723","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","1","06:02:53","06:06:53","800","44","40","4","0,0","200","2023-07-01T17:00:00.000000Z","2024-05-12T07:41:41.000000Z"
"93","DS20230731","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","1","06:05:28","06:12:28","1900","46","35","7","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T06:03:46.000000Z"
"94","DS20230731","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:01:01","06:08:01","850","42","35","7","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T06:11:21.000000Z"
"95","DS20230731","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:01:18","06:04:18","50","38","35","3","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T06:57:33.000000Z"
"96","DS20230731","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","1","06:02:46","06:06:46","700","40","35","4","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T06:59:13.000000Z"
"97","DS20230731","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:05:50","06:13:50","1600","42","35","8","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:00:27.000000Z"
"98","DS20230731","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:04:19","06:10:19","700","42","35","6","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:02:58.000000Z"
"99","DS20230731","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:04:06","06:13:06","1900","37","35","9","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:04:55.000000Z"
"100","DS20230731","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","2","06:02:39","06:17:39","2900","41","35","15","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:08:13.000000Z"
"101","DS20230731","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","2","06:02:46","06:12:46","2600","41","35","10","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:10:36.000000Z"
"102","DS20230731","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","2","06:05:30","06:10:30","550","43","35","5","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:11:57.000000Z"
"103","DS20230731","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:04:37","06:10:37","2000","40","35","6","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:14:06.000000Z"
"104","DS20230732","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:01:52","06:07:52","1500","45","35","6","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"105","DS20230732","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","2","06:02:15","06:06:15","550","40","35","4","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:22:43.000000Z"
"106","DS20230732","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:05:01","06:08:01","850","37","35","3","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:24:24.000000Z"
"107","DS20230732","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:02:21","06:06:21","1500","45","35","4","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"108","DS20230732","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","2","06:02:34","06:09:34","1500","40","35","7","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:28:43.000000Z"
"109","DS20230732","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","2","06:01:31","06:04:31","55","41","35","3","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:30:37.000000Z"
"110","DS20230732","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","1","06:05:22","06:08:22","650","43","35","3","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:31:58.000000Z"
"111","DS20230732","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:02:43","06:06:43","550","37","35","4","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:32:52.000000Z"
"112","DS20230732","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","2","06:02:24","06:06:24","500","48","35","4","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:34:08.000000Z"
"113","DS20230732","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","1","06:01:46","06:03:46","300","40","35","2","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:35:13.000000Z"
"114","DS20230732","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","2","06:01:12","06:08:12","1600","37","35","7","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:36:27.000000Z"
"115","DS20230732","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:01:12","06:05:12","55","42","35","4","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:37:32.000000Z"
"116","DS20230733","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","2","06:03:53","06:17:53","2500","49","35","13","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:40:15.000000Z"
"117","DS20230733","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","1","06:02:22","06:09:22","800","44","35","7","0,0","200","2023-07-02T17:00:00.000000Z","2024-05-12T07:41:41.000000Z"
"139","DS20230741","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","1","06:01:51","06:10:51","1900","46","40","9","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T06:03:46.000000Z"
"140","DS20230741","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","1","06:04:16","06:11:16","850","42","40","7","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T06:11:21.000000Z"
"141","DS20230741","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","1","06:05:32","06:09:32","50","38","40","4","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T06:57:33.000000Z"
"142","DS20230741","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","2","06:05:37","06:11:37","700","40","40","6","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T06:59:13.000000Z"
"143","DS20230741","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:02:59","06:10:59","1600","42","40","8","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:00:27.000000Z"
"144","DS20230741","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","1","06:01:44","06:06:44","700","42","40","5","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:02:58.000000Z"
"145","DS20230741","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","2","06:02:43","06:11:43","1900","37","40","9","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:04:55.000000Z"
"146","DS20230741","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","1","06:01:46","06:14:46","2900","41","40","13","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:08:13.000000Z"
"147","DS20230741","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","2","06:03:21","06:16:21","2600","41","40","13","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:10:36.000000Z"
"148","DS20230741","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","06:03:36","06:05:36","550","43","40","2","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:11:57.000000Z"
"149","DS20230741","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:05:43","06:11:43","2000","40","40","6","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:14:06.000000Z"
"150","DS20230742","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:03:17","06:10:17","1500","45","40","7","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"151","DS20230742","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","1","06:04:39","06:09:39","550","40","40","5","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:22:43.000000Z"
"152","DS20230742","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:02:28","06:06:28","850","37","40","4","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:24:24.000000Z"
"153","DS20230742","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","2","06:05:28","06:09:28","1500","45","40","4","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"154","DS20230742","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","1","06:02:18","06:09:18","1500","40","40","7","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:28:43.000000Z"
"155","DS20230742","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:02:48","06:07:48","55","41","40","5","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:30:37.000000Z"
"156","DS20230742","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","2","06:04:08","06:09:08","650","43","40","5","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:31:58.000000Z"
"157","DS20230742","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","1","06:03:20","06:06:20","550","37","40","3","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:32:52.000000Z"
"158","DS20230742","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","1","06:04:12","06:08:12","500","48","40","4","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:34:08.000000Z"
"159","DS20230742","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","2","06:02:30","06:06:30","300","40","40","4","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:35:13.000000Z"
"160","DS20230742","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","1","06:04:41","06:09:41","1600","37","40","5","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:36:27.000000Z"
"161","DS20230742","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","2","06:04:47","06:08:47","55","42","40","4","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:37:32.000000Z"
"162","DS20230743","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","1","06:02:43","06:13:43","2500","49","40","10","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:40:15.000000Z"
"163","DS20230743","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","2","06:01:34","06:08:34","800","44","40","7","0,0","200","2023-07-03T17:00:00.000000Z","2024-05-12T07:41:41.000000Z"
"185","DS20230751","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","2","06:01:18","06:10:18","1900","46","30","9","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T06:03:46.000000Z"
"186","DS20230751","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","2","06:02:46","06:07:46","850","42","30","5","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T06:11:21.000000Z"
"187","DS20230751","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","2","06:02:25","06:06:25","50","38","30","4","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T06:57:33.000000Z"
"188","DS20230751","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","2","06:03:49","06:09:49","700","40","30","6","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T06:59:13.000000Z"
"189","DS20230751","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:02:28","06:10:28","1600","42","30","8","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:00:27.000000Z"
"190","DS20230751","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","2","06:02:39","06:08:39","700","42","30","6","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:02:58.000000Z"
"191","DS20230751","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","1","06:02:51","06:10:51","1900","37","30","8","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:04:55.000000Z"
"192","DS20230751","C1611311","-6.5608113","106.7697674","-6.5521866","106.7698895","1","06:02:30","06:17:30","2900","41","30","15","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:08:13.000000Z"
"193","DS20230751","C1611412","-6.5521866","106.7698895","-6.5538709","106.7612726","2","06:05:54","06:15:54","2600","41","30","10","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:10:36.000000Z"
"194","DS20230751","C1611413","-6.5538709","106.7612726","-6.5583673","106.7625736","1","06:04:11","06:09:11","550","43","30","5","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:11:57.000000Z"
"195","DS20230751","C1631014","-6.5583673","106.7625736","-6.5479962","106.7588665","1","06:01:44","06:06:44","2000","40","30","5","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:14:06.000000Z"
"196","DS20230752","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:02:16","06:10:16","1500","45","30","8","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"197","DS20230752","C1611116","-6.5770773","106.7700981","-6.5785988","106.7729419","2","06:05:51","06:10:51","550","40","30","5","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:22:43.000000Z"
"198","DS20230752","C1611214","-6.5785988","106.7729419","-6.5739934","106.77001","2","06:05:14","06:09:14","850","37","30","4","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:24:24.000000Z"
"199","DS20230752","C1611115","-6.5739934","106.77001","-6.5798804","106.7789937","1","06:05:28","06:12:28","1500","45","30","7","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:26:55.000000Z"
"200","DS20230752","C1611216","-6.5798804","106.7789937","-6.574711","106.778276","1","06:03:41","06:11:41","1500","40","30","8","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:28:43.000000Z"
"201","DS20230752","C1611217","-6.574711","106.778276","-6.5735244","106.7694718","1","06:01:08","06:05:08","55","41","30","4","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:30:37.000000Z"
"202","DS20230752","C1611118","-6.5735244","106.7694718","-6.5777356","106.7748177","2","06:04:31","06:06:31","650","43","30","2","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:31:58.000000Z"
"203","DS20230752","C1611119","-6.5777356","106.7748177","-6.5789106","106.7725241","2","06:02:15","06:06:15","550","37","30","4","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:32:52.000000Z"
"204","DS20230752","C1611120","-6.5789106","106.7725241","-6.580235","106.7758265","2","06:01:48","06:06:48","500","48","30","5","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:34:08.000000Z"
"205","DS20230752","C1611221","-6.580235","106.7758265","-6.5806101","106.7778852","1","06:05:05","06:07:05","300","40","30","2","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:35:13.000000Z"
"206","DS20230752","C1611222","-6.5806101","106.7778852","-6.574711","106.778276","1","06:03:55","06:08:55","1600","37","30","5","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:36:27.000000Z"
"207","DS20230752","C1661223","-6.574711","106.778276","-6.5750769","106.7786665","1","06:02:56","06:07:56","55","42","30","5","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:37:32.000000Z"
"208","DS20230753","C1611324","-6.5593912","106.7651706","-6.5689459","106.7663511","2","06:02:55","06:13:55","2500","49","30","10","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:40:15.000000Z"
"209","DS20230753","C1611225","-6.5689459","106.7663511","-6.5697904","106.7715157","2","06:03:31","06:10:31","800","44","30","7","0,0","200","2023-07-04T17:00:00.000000Z","2024-05-12T07:41:41.000000Z"
"231","DS20230761","C161134","-6.5593912","106.7651706","-6.5597062","106.7653049","2","06:04:39","06:11:39","1900","46","50","8","0,0","200","2023-07-05T17:00:00.000000Z","2024-05-12T06:03:46.000000Z"
"232","DS20230761","C161135","-6.5597062","106.7653049","-6.5616789","106.7651859","2","06:01:59","06:08:59","850","42","50","8","0,0","200","2023-07-05T17:00:00.000000Z","2024-05-12T06:11:21.000000Z"
"233","DS20230761","C161136","-6.5616789","106.7651859","-6.5576909","106.7708545","2","06:03:35","06:08:35","50","38","50","6","0,0","200","2023-07-05T17:00:00.000000Z","2024-05-12T06:57:33.000000Z"
"234","DS20230761","C161147","-6.5576909","106.7708545","-6.5579377","106.7646372","1","06:05:38","06:09:38","700","40","50","5","0,0","200","2023-07-05T17:00:00.000000Z","2024-05-12T06:59:13.000000Z"
"235","DS20230761","C161138","-6.5579377","106.7646372","-6.5526027","106.7687139","1","06:04:10","06:11:10","1600","42","50","8","0,0","200","2023-07-05T17:00:00.000000Z","2024-05-12T07:00:27.000000Z"
"236","DS20230761","C161139","-6.5526027","106.7687139","-6.55624","106.7664824","1","06:05:42","06:12:42","700","42","50","8","0,0","200","2023-07-05T17:00:00.000000Z","2024-05-12T07:02:58.000000Z"
"237","DS20230761","C1611310","-6.55624","106.7664824","-6.5608113","106.7697674","2","06:05:02","06:14:02","1900","37","50","10","0,0","200","2023-07-05T17:00:00.000000Z","2024-05-12T07:04:55.000000Z"
